route_id,ledger_rows,p1_seeds_seen,p1_seed_means,p1_3seed_seeds,p1_3seed_jobs,p1_3seed_mean,p1_5seed_seeds,p1_5seed_jobs,p1_5seed_mean,p1_runs,p2_complete_runs,p2_run_means,p2_best_complete_mean,p2_best_complete_jobs,p2_best_complete_sources,p3_complete_runs,p3_run_means,p3_best_complete_mean,p3_best_complete_outer_jobs,p3_best_complete_sources
fixed_crop_car_fbstcnet,11,"42,123,456,789,1024",42=0.7164(jobs=5); 123=0.7207(jobs=5); 456=0.7148(jobs=5); 789=0.7107(jobs=5); 1024=0.7104(jobs=5),"42,123,456",15/15,0.7173,"42,123,456,789,1024",25/25,0.7146,"A:backfill_pr49_A_20260522_2023_fixed_crop_car_fbstcnet_p1_seed789(n=5,mean=0.7107); B:backfill_pr49_B_20260522_2013_fixed_crop_car_fbstcnet_p1_seed123(n=5,mean=0.7207); C:backfill_pr49_C_20260522_2013_fixed_crop_car_fbstcnet_p1_seed456(n=5,mean=0.7147); C:backfill_pr49_C_20260522_2027_fixed_crop_car_fbstcnet_p1_seed1024(n=5,mean=0.7104); E:autofill_E_20260524_085857_006_p1_fixed_crop_car_fbstcnet(n=25,mean=0.7146)",1,"0.6756(n=7,sources=2)",0.6756,crop1=0.7083; crop2=0.7292; crop3=0.7708; crop4=0.7083; crop5=0.7083; random=0.7500; worst=0.3542,"A:backfill_pr49_A_20260522_2013_fixed_crop_car_fbstcnet_p2(n=7,mean=0.6756); E:autofill_E_20260524_085837_001_p2_fixed_crop_car_fbstcnet(n=7,mean=0.6756)",1,"0.7250(n=5,sources=4)",0.7250,outer0/seed42=0.6947; outer1/seed43=0.7140; outer2/seed44=0.7385; outer3/seed45=0.6860; outer4/seed46=0.7917,"A:autofill_A_20260522_233127_004_p3_fixed_crop_car_fbstcnet(n=5,mean=0.7250); A:backfill_pr49_A_20260522_2023_fixed_crop_car_fbstcnet_p3(n=5,mean=0.7250); C:autofill_C_20260522_233115_001_p3_fixed_crop_car_fbstcnet(n=5,mean=0.7250); E:autofill_E20_20260524_090426_005_p3_fixed_crop_car_fbstcnet(n=5,mean=0.7250)"
fixed_crop_ea_car_fbstcnet,1,,,,0/15,,,0/25,,,0,,,,,1,"0.7071(n=5,sources=1)",0.7071,outer0/seed42=0.7010; outer1/seed43=0.7030; outer2/seed44=0.7034; outer3/seed45=0.6599; outer4/seed46=0.7682,"C:autofill_C_20260522_233119_002_p3_fixed_crop_ea_car_fbstcnet(n=5,mean=0.7071)"
fixed_crop_ea_cbramod_candidate,2,,,,0/15,,,0/25,,,1,"0.5774(n=7,sources=1)",0.5774,crop1=0.6667; crop2=0.6042; crop3=0.6250; crop4=0.6667; crop5=0.6042; random=0.7083; worst=0.1667,"C:autofill_C_20260523_110137_030_p2_fixed_crop_ea_cbramod_candidate(n=7,mean=0.5774)",1,"0.6445(n=5,sources=1)",0.6445,outer0/seed42=0.6455; outer1/seed43=0.6028; outer2/seed44=0.6803; outer3/seed45=0.6288; outer4/seed46=0.6651,"C:autofill_C_20260523_110141_031_p3_fixed_crop_ea_cbramod_candidate(n=5,mean=0.6445)"
fixed_crop_ea_deformer_depth1_emb64,13,"42,123,456,789,1024",42=0.6755(jobs=5); 123=0.6703(jobs=5); 456=0.6629(jobs=5); 789=0.6682(jobs=5); 1024=0.6696(jobs=5),"42,123,456",15/15,0.6695,"42,123,456,789,1024",25/25,0.6693,"A:backfill_diverse_A_20260522_2044_fixed_crop_ea_deformer_depth1_emb64_p1_seed123(n=5,mean=0.6703); A:backfill_util_A_20260522_211253_fixed_crop_ea_deformer_depth1_emb64_p1_seed1024(n=5,mean=0.6696); B:backfill_diverse_B_20260522_2044_fixed_crop_ea_deformer_depth1_emb64_p1_seed456(n=5,mean=0.6629); B:backfill_util_B_20260522_211402_fixed_crop_ea_deformer_depth1_emb64_p1_seed1024(n=5,mean=0.6696); C:backfill_diverse_C_20260522_2042_fixed_crop_ea_deformer_depth1_emb64_p1_seed42(n=5,mean=0.6755); C:backfill_queue_C_20260522_211741_fixed_crop_ea_deformer_depth1_emb64_p1_seed456(n=5,mean=0.6629); C:backfill_util_C_20260522_210829_fixed_crop_ea_deformer_depth1_emb64_p1_seed789(n=5,mean=0.6682)",1,"0.6310(n=7,sources=1)",0.6310,crop1=0.6458; crop2=0.6250; crop3=0.7083; crop4=0.7292; crop5=0.7500; random=0.6667; worst=0.2917,"C:autofill_C_20260523_105848_028_p2_fixed_crop_ea_deformer_depth1_emb64(n=7,mean=0.6310)",1,"0.6878(n=5,sources=5)",0.6878,outer0/seed42=0.6862; outer1/seed43=0.6962; outer2/seed44=0.7294; outer3/seed45=0.6209; outer4/seed46=0.7065,"A:backfill_util_A_20260522_211528_fixed_crop_ea_deformer_depth1_emb64_p3(n=5,mean=0.6878); B:backfill_capacity_B_20260522_153412_fixed_crop_ea_deformer_depth1_emb64_p3_extra(n=5,mean=0.6878); B:backfill_util_B_20260522_212251_fixed_crop_ea_deformer_depth1_emb64_p3(n=5,mean=0.6878); C:autofill_C_20260523_105952_029_p3_fixed_crop_ea_deformer_depth1_emb64(n=5,mean=0.6878); C:backfill_long_C_20260522_213713_fixed_crop_ea_deformer_depth1_emb64_p3(n=5,mean=0.6878)"
fixed_crop_ea_deformer_depth2_emb96,5,,,,0/15,,,0/25,,,0,,,,,1,"0.6804(n=5,sources=5)",0.6804,outer0/seed42=0.6524; outer1/seed43=0.7046; outer2/seed44=0.7227; outer3/seed45=0.6286; outer4/seed46=0.6936,"A:backfill_capacity_A_20260522_155241_fixed_crop_ea_deformer_depth2_emb96_p3_extra(n=5,mean=0.6804); A:backfill_value_A_20260522_172210_deformer_depth2_emb96_p3(n=5,mean=0.6804); B:backfill_capacity_B_20260522_155241_fixed_crop_ea_deformer_depth2_emb96_p3_extra(n=5,mean=0.6804); B:backfill_value_B_20260522_172635_deformer_depth2_emb96_p3(n=5,mean=0.6804); C:backfill_value_C_20260522_161845_deformer_depth2_emb96_p3(n=5,mean=0.6804)"
fixed_crop_ea_deformer_depth3_emb64,7,,,,0/15,,,0/25,,,0,,,,,1,"0.6772(n=5,sources=7)",0.6772,outer0/seed42=0.6677; outer1/seed43=0.6690; outer2/seed44=0.7211; outer3/seed45=0.6207; outer4/seed46=0.7077,"A:backfill_value_A_20260522_162710_deformer_depth3_emb64_p3(n=5,mean=0.6772); A:backfill_value_A_20260522_1816_deformer_depth3_emb64_p3(n=5,mean=0.6772); B:backfill_value_B_20260522_161455_deformer_depth3_emb64_p3(n=5,mean=0.6772); B:backfill_value_B_20260522_172825_deformer_depth3_emb64_p3(n=5,mean=0.6772); B:backfill_value_B_20260522_1816_deformer_depth3_emb64_p3(n=5,mean=0.6772); C:backfill_capacity_C_20260522_152852_fixed_crop_ea_deformer_depth3_emb64_p3(n=5,mean=0.6772); C:backfill_value_C_20260522_1818_deformer_depth3_emb64_p3(n=5,mean=0.6772)"
fixed_crop_ea_dgcnn,14,"42,123,456,789,1024",42=0.6976(jobs=5); 123=0.6931(jobs=5); 456=0.6732(jobs=5); 789=0.7046(jobs=5); 1024=0.6975(jobs=5),"42,123,456",15/15,0.6880,"42,123,456,789,1024",25/25,0.6932,"A:backfill_util_A_20260522_212109_fixed_crop_ea_dgcnn_p1_seed456(n=5,mean=0.6732); B:autofill_B_20260523_085748_023_p1_fixed_crop_ea_dgcnn(n=25,mean=0.6932); B:backfill_diverse_B_20260522_2029_fixed_crop_ea_dgcnn_p1_seed42(n=5,mean=0.6976); B:backfill_queue_B_20260522_211741_fixed_crop_ea_dgcnn_p1_seed123(n=5,mean=0.6931)",1,"0.6845(n=7,sources=1)",0.6845,crop1=0.7292; crop2=0.6667; crop3=0.7500; crop4=0.7500; crop5=0.7708; random=0.7500; worst=0.3750,"B:autofill_B_20260523_074440_005_p2_fixed_crop_ea_dgcnn(n=7,mean=0.6845)",1,"0.7016(n=5,sources=9)",0.7016,outer0/seed42=0.6933; outer1/seed43=0.6891; outer2/seed44=0.7411; outer3/seed45=0.6419; outer4/seed46=0.7425,"A:backfill_graph_A_20260522_2042_fixed_crop_ea_dgcnn_p3(n=5,mean=0.7016); A:backfill_value_A_20260522_160815_fixed_crop_ea_dgcnn_p3(n=5,mean=0.7016); A:backfill_value_A_20260522_1812_fixed_crop_ea_dgcnn_p3(n=5,mean=0.7016); B:autofill_B_20260523_074444_006_p3_fixed_crop_ea_dgcnn(n=5,mean=0.7016); B:backfill_long_B_20260522_214155_fixed_crop_ea_dgcnn_p3(n=5,mean=0.7016); B:backfill_value_B_20260522_161455_fixed_crop_ea_dgcnn_p3(n=5,mean=0.7016); B:backfill_value_B_20260522_1812_fixed_crop_ea_dgcnn_p3(n=5,mean=0.7016); C:backfill_value_C_20260522_160955_fixed_crop_ea_dgcnn_p3(n=5,mean=0.7016); C:backfill_value_C_20260522_1802_fixed_crop_ea_dgcnn_p3(n=5,mean=0.7016)"
fixed_crop_ea_fbcnet,10,,,,0/15,,,0/25,,,0,,,,,1,"0.6444(n=5,sources=10)",0.6444,outer0/seed42=0.6261; outer1/seed43=0.6120; outer2/seed44=0.6806; outer3/seed45=0.6277; outer4/seed46=0.6756,"A:backfill_long_A_20260522_214012_fixed_crop_ea_fbcnet_p3(n=5,mean=0.6444); A:backfill_value_A_20260522_163555_fixed_crop_ea_fbcnet_p3(n=5,mean=0.6444); A:backfill_value_A_20260522_170610_fixed_crop_ea_fbcnet_p3(n=5,mean=0.6444); A:backfill_value_A_20260522_1820_fixed_crop_ea_fbcnet_p3(n=5,mean=0.6444); B:backfill_value_B_20260522_165405_fixed_crop_ea_fbcnet_p3(n=5,mean=0.6444); B:backfill_value_B_20260522_1827_fixed_crop_ea_fbcnet_p3(n=5,mean=0.6444); C:backfill_value_C_20260522_163730_fixed_crop_ea_fbcnet_p3(n=5,mean=0.6444); C:backfill_value_C_20260522_170745_fixed_crop_ea_fbcnet_p3(n=5,mean=0.6444); C:backfill_value_C_20260522_1820_fixed_crop_ea_fbcnet_p3(n=5,mean=0.6444); C:backfill_value_C_20260522_1833_fixed_crop_ea_fbcnet_p3(n=5,mean=0.6444)"
fixed_crop_ea_fbcnet_train_aug,19,"123,456,789,1024",123=0.6626(jobs=5); 456=0.6326(jobs=5); 789=0.6350(jobs=5); 1024=0.6475(jobs=5),"123,456",10/15,,"123,456,789,1024",20/25,,"A:backfill_diverse_A_20260522_2029_fixed_crop_ea_fbcnet_train_aug_p1_seed123(n=5,mean=0.6626); A:backfill_util_A_20260522_211119_fixed_crop_ea_fbcnet_train_aug_p1_seed1024(n=5,mean=0.6475); B:backfill_diverse_B_20260522_2044_fixed_crop_ea_fbcnet_train_aug_p1_seed456(n=5,mean=0.6326); B:backfill_util_B_20260522_210828_fixed_crop_ea_fbcnet_train_aug_p1_seed789(n=5,mean=0.6350); C:backfill_queue_C_20260522_211741_fixed_crop_ea_fbcnet_train_aug_p1_seed1024(n=5,mean=0.6475); C:backfill_util_C_20260522_210627_fixed_crop_ea_fbcnet_train_aug_p1_seed123(n=5,mean=0.6626)",1,"0.5536(n=7,sources=2)",0.5536,crop1=0.6667; crop2=0.5833; crop3=0.6042; crop4=0.6250; crop5=0.6042; random=0.6458; worst=0.1458,"A:backfill_value_A_20260522_163555_fixed_crop_ea_fbcnet_train_aug_p2(n=7,mean=0.5536); C:backfill_value_C_20260522_163730_fixed_crop_ea_fbcnet_train_aug_p2(n=7,mean=0.5536)",1,"0.6410(n=5,sources=11)",0.6410,outer0/seed42=0.6186; outer1/seed43=0.6115; outer2/seed44=0.6666; outer3/seed45=0.6270; outer4/seed46=0.6815,"A:backfill_diverse_A_20260522_2042_fixed_crop_ea_fbcnet_train_aug_p3(n=5,mean=0.6410); A:backfill_long_A_20260522_213713_fixed_crop_ea_fbcnet_train_aug_p3(n=5,mean=0.6410); A:backfill_value_A_20260522_165405_fixed_crop_ea_fbcnet_train_aug_p3(n=5,mean=0.6410); A:backfill_value_A_20260522_1814_fixed_crop_ea_fbcnet_train_aug_p3(n=5,mean=0.6410); B:backfill_long_B_20260522_213713_fixed_crop_ea_fbcnet_train_aug_p3(n=5,mean=0.6410); B:backfill_value_B_20260522_165405_fixed_crop_ea_fbcnet_train_aug_p3(n=5,mean=0.6410); B:backfill_value_B_20260522_1814_fixed_crop_ea_fbcnet_train_aug_p3(n=5,mean=0.6410); C:backfill_long_C_20260522_213117_fixed_crop_ea_fbcnet_train_aug_p3(n=5,mean=0.6410); C:backfill_value_C_20260522_165025_fixed_crop_ea_fbcnet_train_aug_p3(n=5,mean=0.6410); C:backfill_value_C_20260522_1805_fixed_crop_ea_fbcnet_train_aug_p3(n=5,mean=0.6410); C:backfill_value_C_20260522_1831_fixed_crop_ea_fbcnet_train_aug_p3(n=5,mean=0.6410)"
fixed_crop_ea_fbstcnet_c_only,17,"42,123,456,789,1024",42=0.7076(jobs=5); 123=0.7045(jobs=5); 456=0.7043(jobs=5); 789=0.6967(jobs=5); 1024=0.6938(jobs=5),"42,123,456",15/15,0.7055,"42,123,456,789,1024",25/25,0.7014,"B:autofill_B2_20260523_165900_083_p1_fixed_crop_ea_fbstcnet_c_only(n=25,mean=0.7014); C:autofill_C2_20260523_162439_068_p1_fixed_crop_ea_fbstcnet_c_only(n=25,mean=0.7014); C:autofill_C_20260523_090036_020_p1_fixed_crop_ea_fbstcnet_c_only(n=25,mean=0.7014)",1,"0.6696(n=7,sources=5)",0.6696,crop1=0.6667; crop2=0.7083; crop3=0.6875; crop4=0.7083; crop5=0.7708; random=0.7292; worst=0.4167,"B:autofill_B2_20260523_164227_081_p2_fixed_crop_ea_fbstcnet_c_only(n=7,mean=0.6696); B:autofill_B_20260523_140006_067_p2_fixed_crop_ea_fbstcnet_c_only(n=7,mean=0.6696); C:autofill_C2_20260523_141315_052_p2_fixed_crop_ea_fbstcnet_c_only(n=7,mean=0.6696); C:autofill_C2_20260523_160304_066_p2_fixed_crop_ea_fbstcnet_c_only(n=7,mean=0.6696); C:autofill_C_20260523_075759_011_p2_fixed_crop_ea_fbstcnet_c_only(n=7,mean=0.6696)",1,"0.7124(n=5,sources=9)",0.7124,outer0/seed42=0.7026; outer1/seed43=0.6816; outer2/seed44=0.7251; outer3/seed45=0.6864; outer4/seed46=0.7665,"A:autofill_A_20260522_233135_006_p3_fixed_crop_ea_fbstcnet_c_only(n=5,mean=0.7124); A:backfill_util_A_20260522_222550_fixed_crop_ea_fbstcnet_c_only_p3_abs(n=5,mean=0.7124); B:autofill_B2_20260523_164231_082_p3_fixed_crop_ea_fbstcnet_c_only(n=5,mean=0.7124); B:autofill_B_20260523_140632_068_p3_fixed_crop_ea_fbstcnet_c_only(n=5,mean=0.7124); B:backfill_util_B_20260522_222551_fixed_crop_ea_fbstcnet_c_only_p3_abs(n=5,mean=0.7124); C:autofill_C2_20260523_141640_053_p3_fixed_crop_ea_fbstcnet_c_only(n=5,mean=0.7124); C:autofill_C2_20260523_161011_067_p3_fixed_crop_ea_fbstcnet_c_only(n=5,mean=0.7124); C:autofill_C_20260523_080104_012_p3_fixed_crop_ea_fbstcnet_c_only(n=5,mean=0.7124); C:backfill_util_C_20260522_221213_fixed_crop_ea_fbstcnet_c_only_p3_abs(n=5,mean=0.7124)"
fixed_crop_ea_fbstcnet_m_conn_light,16,"42,123,456,789,1024",42=0.7123(jobs=5); 123=0.7039(jobs=5); 456=0.6962(jobs=5); 789=0.6965(jobs=5); 1024=0.6871(jobs=5),"42,123,456",15/15,0.7041,"42,123,456,789,1024",25/25,0.6992,"B:autofill_B2_20260523_170956_086_p1_fixed_crop_ea_fbstcnet_m_conn_light(n=25,mean=0.6992); C:autofill_C2_20260523_164739_071_p1_fixed_crop_ea_fbstcnet_m_conn_light(n=25,mean=0.6992); C:autofill_C2_20260523_183917_095_p1_fixed_crop_ea_fbstcnet_m_conn_light(n=25,mean=0.6992); C:autofill_C_20260523_090032_019_p1_fixed_crop_ea_fbstcnet_m_conn_light(n=25,mean=0.6992)",1,"0.6845(n=7,sources=4)",0.6845,crop1=0.7083; crop2=0.6875; crop3=0.7292; crop4=0.7292; crop5=0.7708; random=0.7708; worst=0.3958,"B:autofill_B2_20260523_165904_084_p2_fixed_crop_ea_fbstcnet_m_conn_light(n=7,mean=0.6845); C:autofill_C2_20260523_164028_069_p2_fixed_crop_ea_fbstcnet_m_conn_light(n=7,mean=0.6845); C:autofill_C2_20260523_183327_093_p2_fixed_crop_ea_fbstcnet_m_conn_light(n=7,mean=0.6845); C:autofill_C_20260523_075129_009_p2_fixed_crop_ea_fbstcnet_m_conn_light(n=7,mean=0.6845)",1,"0.7104(n=5,sources=8)",0.7104,outer0/seed42=0.6915; outer1/seed43=0.7151; outer2/seed44=0.7016; outer3/seed45=0.6783; outer4/seed46=0.7657,"A:autofill_A_20260522_233131_005_p3_fixed_crop_ea_fbstcnet_m_conn_light(n=5,mean=0.7104); A:backfill_util_A_20260522_222548_fixed_crop_ea_fbstcnet_m_conn_light_p3_abs(n=5,mean=0.7104); B:autofill_B2_20260523_170551_085_p3_fixed_crop_ea_fbstcnet_m_conn_light(n=5,mean=0.7104); B:backfill_util_B_20260522_222548_fixed_crop_ea_fbstcnet_m_conn_light_p3_abs(n=5,mean=0.7104); C:autofill_C2_20260523_164032_070_p3_fixed_crop_ea_fbstcnet_m_conn_light(n=5,mean=0.7104); C:autofill_C2_20260523_183913_094_p3_fixed_crop_ea_fbstcnet_m_conn_light(n=5,mean=0.7104); C:autofill_C_20260523_075133_010_p3_fixed_crop_ea_fbstcnet_m_conn_light(n=5,mean=0.7104); C:backfill_util_C_20260522_221211_fixed_crop_ea_fbstcnet_m_conn_light_p3_abs(n=5,mean=0.7104)"
